groupoid,"խմբոիդ, խմբակերպ",,,,,,,,
half-open / half-closed,կիսաբաց / կիսափակ,,,,,,,,
half-plane,կիսահարթություն,,,,,,,,
half-space,կիսատարածություն,,,,,,,,
Hardy-Littlewood maximal function,Հարդի-Լիթլվուդի մաքսիմալ ֆունկցիա,,,,,,,,
harmonic conjugate,հարմոնիկ համալուծ,,,,,,,,
harmonic function,հարմոնիկ ֆունկցիա,,,,,,,,
harmonic mean,միջին հարմոնիկ,,,,,,,,
Hausdorff space,հաուսդորֆյան տարածություն,,,,,,,,
heat equation,ջերմահաղորդականության հավասարում,,,,,,,,
hemisphere ,"կիսագունդ, կիսասֆերա",,,,,,,,
hereditary property,ժառանգական հատկություն,,,,,,,,
Hermitian matrix,էրմիտյան մատրից,,,,,,,,
Hessian matrix,հեսիան մատրից,,,,,,,,
higher-order derivatives,բարձր կարգի ածանցյալներ,,,,,,,,
Hilbert space,հիլբերտյան տարածություն,,,,,,,,
Hilbert transform,Հիլբերտի ձևափոխություն,,,,,,,,
holomorphic function,հոլոմորֆ ֆունկցիա,,,,,,,,
homeomorphism,հոմեոմորֆիզմ,,,,,,,,
homogeneous,համասեռ,,,,,,,,
homology,հոմոլոգիա,,,,,,,,
homology group,հոմոլոգիական խումբ,,,,,,,,
homotopy,հոմոտոպիա,,,,,,,,
homotopy equivalence,հոմոտոպիական համարժեքություն,,,,,,,,
horizontal asymptote,հորիզոնական ասիմպտոտ,,,,,,,,
hyperbolic,հիպերբոլական,,,,,,,,
hypergeometric,հիպերերկրաչափական,,,,,,,,
hyperplane,հիպերհարթություն,,,,,,,,
hypersurface,հիպերմակերևույթ,,,,,,,,
hypotenuse,ներքնաձիգ,,,,,,,,
hypothesis testing,վարկածների ստուգում,,,,,,,,
ideal,իդեալ,,,,,,,,
idempotent,իդեմպոտենտ,,,,,,,,
identically distributed,միատեսակ բաշխված,,,,,,,,
identically zero,նույնաբար զրո,,,,,,,,
identification,նույնացում,,,,,,,,
identity,նույնություն,,,,,,,,
identity map,նույնական արտապատկերում,,,,,,,,
identity matrix,միավոր մատրից,,,,,,,,
if and only if (iff),այն և միայն այն դեպքում,,,,,,,,
image,պատկեր,,,,,,,,
imaginary part,կեղծ մաս,,,,,,,,
immersion,ընկղմում,,,,,,,,
implicit,անբացահայտ,,,,,,,,
implicit function theorem,անբացահայտ ֆունկցիայի թեորեմ,,,,,,,,
improper integral,անիսկական ինտեգրալ,,,,,,,,
improper integral depending on parameters,պարամետրից կախված անիսկական ինտեգրալ (ՊԿԱԻ),,,,,,,,
incidence matrix,կցության մատրից,,,,,,,,
incident ,կից,,,,,,,,
inclusion,պարունակում,,,,,,,,
inclusion [partial] order,ըստ պարունակման [մասնակի] կարգ,,,,,,,,
inclusion-exclusion principle,կցման-արտաքսման սկզբունք,,,,,,,,
incompleteness,ոչ լրիվություն,,,,,,,,
increasing,աճող,,,,,,,,
indefinite ,անորոշ,,,,,,,,
independence,անկախություն,,,,,,,,
independent and identically distributed (i.i.d.),անկախ և միատեսակ բաշխված,,,,,,,,
independent random variables,անկախ պատահական մեծություններ,,,,,,,,
index of a subgroup,ենթախմբի ինդեքս,,,,,,,,
indexed family,ինդեքսավորված ընտանիք,,,,,,,,
indicator function,ինդիկատոր ֆունկցիա,,,,,,,,
induced metric,մակածված մետրիկա,,,,,,,,
induction,ինդուկցիա,,,,,,,,
infimum,"ինֆիմում, ճշգրիտ ստորին եզր",,,,,,,,
infinite product,անվերջ արտադրյալ,,,,,,,,
infinite set,անվերջ բազմություն,,,,,,,,
infinite sum,անվերջ գումար,,,,,,,,
infinite-dimensional,անվերջ չափանի,,,,,,,,
infinitesimal,անվերջ փոքր,,,,,,,,
infinity,"անվերջություն, անսահմանություն",,,,,,,,
inflection point,շրջման կետ,,,,,,,,
inhomogeneous,տարասեռ,,,,,,,,
initial condition,սկզբնական պայման,,,,,,,,
initial value problem (IVP),"Կոշիի խնդիր, երբեմն նաև՝ սկզբնական խնդիր",,,,,,,,
injective,ինյեկտիվ,,,,,,,,
inner product,"ներքին արտադրյալ, սկալյար արտադրյալ",,,,,,,,
inscribed,ներգծած,,,,,,,,
integer,"ամբողջ թիվ (որպես գոյական), ամբողջ, ամբողջաթվային (որպես ածական)",,,,,,,,
integer-valued,ամբողջարժեք,,,,,,,,
integrable,ինտեգրելի,,,,,,,,
integral,ինտեգրալ,,,,,,,,
integral depending on parameters,պարամետրից կախված ինտեգրալ (ՊԿԻ),,,,,,,,
integral domain,ամբողջության տիրույթ,,,,,,,,
integral part,ամբողջ մաս,,,,,,,,
integration by parts,մասերով ինտեգրում,,,,,,,,
interior,ներքնամաս,,,,,,,,
intermediate value theorem,միջին արժեքի թեորեմ,,,,,,,,
internal point,ներքին կետ,,,,,,,,
interpolation,ինտերպոլացիա,,,,,,,,
intersection,հատում,,,,,,,,
interval estimate,միջակայքային գնատահական,,,,,,,,
invariant,ինվարիանտ,,,,,,,,
inverse,հակադարձ,,,,,,,,
inverse function theorem,հակադարձ ֆունկցիայի թեորեմ,,,,,,,,
inverse image,նախապատկեր,,,,,,,,
inversely proportional,հակադարձ համեմատական,,,,,,,,
invertible,հակադարձելի,,,,,,,,
irrational,իռացիոնալ,,,,,,,,
irreducible fraction,անկրճատելի կոտորակ,,,,,,,,
irreducible polynomial,չբերվող բազմանդամ,,,,,,,,
isolated point,մեկուսացված կետ,,,,,,,,
isolated singular point,մեկուսացված եզակի կետ,,,,,,,,
isometric,իզոմետրիկ,,,,,,,,
isometry,իզոմետրիա,,,,,,,,
isomorphic,իզոմորֆ,,,,,,,,
